freq_mhz,probability,is_eti,center_channel
4801.536178588867,0.952,True,5548032
4801.547622680664,0.97,True,5552128
4801.627731323242,0.927,True,5580800
4801.662063598633,0.936,True,5593088
4801.667785644531,0.974,True,5595136
4801.67350769043,0.929,True,5597184
4801.742172241211,1.0,True,5621760
4801.747894287109,0.961,True,5623808
4801.868057250977,0.967,True,5666816
4801.896667480469,0.924,True,5677056
4801.982498168945,0.974,True,5707776
4802.016830444336,1.0,True,5720064
4802.091217041016,0.95,True,5746688
4802.217102050781,0.9,True,5791744
4802.297210693359,0.937,True,5820416
4802.308654785156,0.98,True,5824512
4802.3773193359375,0.976,True,5849088
4802.503204345703,0.942,True,5894144
4802.508926391602,0.932,True,5896192
4802.606201171875,0.93,True,5931008
4802.611923217773,0.919,True,5933056
4802.726364135742,0.98,True,5974016
4802.749252319336,0.944,True,5982208
4802.754974365234,0.966,True,5984256
4802.789306640625,0.916,True,5996544
4802.892303466797,0.986,True,6033408
4802.898025512695,0.968,True,6035456
4802.932357788086,0.956,True,6047744
4802.938079833984,0.981,True,6049792
4802.95524597168,0.98,True,6055936
4802.983856201172,0.977,True,6066176
4803.012466430664,0.979,True,6076416
4803.0181884765625,0.991,True,6078464
4803.035354614258,0.972,True,6084608
4803.041076660156,0.967,True,6086656
4803.052520751953,0.947,True,6090752
4803.086853027344,0.979,True,6103040
4803.155517578125,0.963,True,6127616
4803.161239624023,0.976,True,6129664
4803.184127807617,0.959,True,6137856
4803.189849853516,0.998,True,6139904
4803.224182128906,0.979,True,6152192
4803.252792358398,0.942,True,6162432
4803.258514404297,0.923,True,6164480
4803.395843505859,0.999,True,6213632
4803.401565551758,1.0,True,6215680
4803.418731689453,0.942,True,6221824
4803.441619873047,0.983,True,6230016
4803.647613525391,0.956,True,6303744
4803.653335571289,0.902,True,6305792
4804.048156738281,0.956,True,6447104
4804.05387878418,0.915,True,6449152
4804.059600830078,0.914,True,6451200
4804.339981079102,0.969,True,6551552
4804.357147216797,0.927,True,6557696
4804.402923583984,0.953,True,6574080
4804.471588134766,0.971,True,6598656
4804.477310180664,0.964,True,6600704
4804.511642456055,0.921,True,6612992
4804.517364501953,0.937,True,6615040
4804.608917236328,0.926,True,6647808
4804.689025878906,0.945,True,6676480
4804.706192016602,0.964,True,6682624
4804.9407958984375,0.952,True,6766592
4804.946517944336,0.945,True,6768640
4806.239700317383,0.953,True,7231488
4806.657409667969,0.92,True,7380992
4806.663131713867,0.956,True,7383040
4806.760406494141,0.976,True,7417856
4806.789016723633,0.962,True,7428096
4806.943511962891,0.933,True,7483392
4806.989288330078,0.972,True,7499776
4807.012176513672,0.961,True,7507968
4807.01789855957,0.953,True,7510016
4807.132339477539,0.932,True,7550976
4807.429885864258,0.951,True,7657472
4807.561492919922,0.942,True,7704576
4807.5958251953125,0.917,True,7716864
4807.738876342773,0.963,True,7768064
4807.75032043457,0.932,True,7772160
4807.859039306641,0.983,True,7811072
4808.259582519531,0.951,True,7954432
4808.311080932617,0.936,True,7972864
4808.408355712891,0.967,True,8007680
4808.614349365234,0.975,True,8081408
4809.615707397461,0.912,True,8439808
4810.027694702148,0.992,True,8587264
4812.40234375,0.964,True,9437184
4812.408065795898,0.961,True,9439232
4812.413787841797,0.993,True,9441280
4812.419509887695,0.993,True,9443328
4812.459564208984,0.989,True,9457664
4812.505340576172,1.0,True,9474048
4812.705612182617,0.909,True,9545728
4812.882995605469,0.901,True,9609216
4812.991714477539,0.944,True,9648128
4813.111877441406,0.95,True,9691136
4813.712692260742,0.937,True,9906176
4813.8214111328125,0.916,True,9945088
4814.450836181641,0.958,True,10170368
4814.456558227539,0.928,True,10172416
4814.4622802734375,0.92,True,10174464
4814.530944824219,0.945,True,10199040
4814.536666870117,0.923,True,10201088
4814.714050292969,0.9,True,10264576
4814.719772338867,0.996,True,10266624
4814.765548706055,0.958,True,10283008
4814.788436889648,0.959,True,10291200
4814.811325073242,0.995,True,10299392
